NonceMin,NonceMax,SampleSize,AvgHitRate,FitType
0.0,20.0,20,0.0178508743522675,2.46
0.0,2000.0,5,0.0104481517349802,2.46
0.0,2000.0,10,0.0151563037622924,2.46
0.0,2000.0,20,0.0162213556454785,2.46
0.0,100.0,5,0.0132012037785495,2.46
0.0,100.0,10,0.0156509654567078,2.46
0.0,100.0,20,0.0171474723956655,2.46
0.0,50.0,5,0.0141342509368243,2.46
0.0,50.0,10,0.0144943945175454,2.46
0.0,50.0,20,0.0223311142506066,2.46
0.0,500.0,5,0.0134193107101823,2.46
0.0,500.0,10,0.0152684312378386,2.46
0.0,500.0,20,0.0194081864985242,2.46
0.0,4.0,5,0.0136954129758439,2.46
0.0,4.0,10,0.0129499070127189,2.46
0.0,4.0,20,0.0202602462726056,2.46
0.0,5.0,5,0.012982048911222,2.46
0.0,5.0,10,0.012749596367654,2.46
0.0,5.0,20,0.0187600464867408,2.46
0.0,2.0,5,0.0139289590097211,2.46
0.0,2.0,10,0.0129594145378383,2.46
0.0,2.0,20,0.0210042526422536,2.46
0.0,3.0,5,0.0140789887693042,2.46
0.0,3.0,10,0.0152364980624777,2.46
0.0,3.0,20,0.0185511988220263,2.46
0.0,1.0,5,0.0131144144008843,2.46
0.0,1.0,10,0.0131774953928757,2.46
0.0,1.0,20,0.0210215411310586,2.46
0.0,1000.0,5,0.0117844738796002,2.46
0.0,1000.0,10,0.0129400439009531,2.46
0.0,1000.0,20,0.0154903838431627,2.46
0.0,10.0,5,0.0136317188911375,2.46
0.0,10.0,10,0.0147364827449284,2.46
0.0,10.0,20,0.0174001407062333,2.46
0.0,200.0,5,0.0084908988727883,2.0
0.0,200.0,10,0.0087682825704583,2.0
0.0,200.0,20,0.0098326189301396,2.0
0.0,20.0,5,0.008088458808725,2.0
0.0,20.0,10,0.0098827653323851,2.0
0.0,20.0,20,0.0095730685269469,2.0
0.0,2000.0,5,0.0088385541802139,2.0
0.0,2000.0,10,0.0085936727326527,2.0
0.0,2000.0,20,0.0098353782316086,2.0
0.0,100.0,5,0.0088104078379101,2.0
0.0,100.0,10,0.0090270397200366,2.0
0.0,100.0,20,0.0099582413480333,2.0
0.0,50.0,5,0.0091780428034713,2.0
0.0,50.0,10,0.0095234934401915,2.0
0.0,50.0,20,0.0099703229739332,2.0
0.0,500.0,5,0.0096241043660084,2.0
0.0,500.0,10,0.0102283461578519,2.0
0.0,500.0,20,0.0106461900205413,2.0
0.0,4.0,5,0.005001103381073,2.0
0.0,4.0,10,0.0082780435685798,2.0
0.0,4.0,20,0.0049842649958491,2.0
0.0,5.0,5,0.005849455746584,2.0
0.0,5.0,10,0.0086622347412149,2.0
